Tarih,News_Tone_Mean,Event_Count
03-2022,-1.4304173214087867,82033
04-2022,-1.8807637583114487,59576
05-2022,-1.47856054325677,79060
06-2022,-1.5315179288275618,80842
07-2022,-1.758766407403586,76092
08-2022,-1.518630427890352,62534
09-2022,-1.7472508282266774,54124
10-2022,-1.5888166025110997,59934
11-2022,-2.3201103568715791,70905
12-2022,-1.9078180563929885,54545
01-2023,-1.901316231765821,63580
02-2023,-1.7199900753175468,92176
03-2023,-1.1089998424542848,61853
04-2023,-0.99596276563299579,80362
05-2023,-0.63985757461799175,94426
06-2023,-0.81460440461845318,72022
07-2023,-0.79299895094569028,92655
08-2023,-1.1570688305802723,66091
09-2023,-1.0937722532066236,75121
10-2023,-2.3557075954126172,87405
11-2023,-1.6261637997147171,75329
12-2023,-1.3403795282392241,62348
01-2024,-1.794734562173836,66047
02-2024,-1.0744212204476586,57127
03-2024,-0.76736348900371754,61254
04-2024,-1.1154793669191478,59752
05-2024,-1.3386373869514845,59707
06-2024,-1.1073005669126252,46962
07-2024,-1.5019320727294521,63059
08-2024,-1.6137171956283871,55144
09-2024,-1.4175186969498057,63186
10-2024,-1.8400832719803066,68007
11-2024,-1.0960905626745745,59402
12-2024,-1.864135772843496,85769
01-2025,-1.4750908966665888,56893
02-2025,-1.0540559590938259,58716
03-2025,-2.651937859309915,77988
04-2025,-1.4612050126487934,62903
05-2025,-1.2143598789006456,107220
06-2025,-1.7968040720747736,29066
07-2025,-1.6715664185407004,65219
08-2025,-1.1697192137660319,52729
09-2025,-1.2331271692775818,57927
10-2025,-1.0533947136269672,71818
11-2025,-1.1104805671447722,72343
